latitude,longitude,frp,confidence,acq_date,acq_time,in_industrial_zone,facility_id,facility_name,distance_km,safe_radius_km,has_flare_stacks,expected_baseline_min_mw,expected_baseline_max_mw,classification,risk_level,analysis,recommended_action,color_code,is_emergency,Lat,Lon,Radiative Power (FRP),System Analysis,Risk Priority Tag
21.166,72.693,520.8,high,2026-09-08,745,True,IND-GJ-002,Hazira Industrial & Chemical Manufacturing Belt (Surat),0.0,3.5,True,10.0,90.0,CRITICAL DISASTER,CRITICAL ACTION REQUIRED,🚨 MASSIVE UNCONTAINED FIRE / EXPLOSION THREAT at Hazira Industrial & Chemical Manufacturing Belt (Surat) (FRP: 520.8 MW)!,TRIGGER ALPHA-RED SIREN! Dispatch Hazmat Teams & Fire Brigades!,#ff4161,True,21.166,72.693,520.8,🚨 MASSIVE UNCONTAINED FIRE / EXPLOSION THREAT at Hazira Industrial & Chemical Manufacturing Belt (Surat) (FRP: 520.8 MW)!,CRITICAL ACTION REQUIRED
22.3072,73.1812,115.4,high,2026-09-08,630,True,IND-GJ-001,Gujarat Petrochemical & Refinery Complex (Vadodara),0.12,4.0,True,15.0,140.0,CONTROLLED FLARE,LOW RISK (Routine Flare Monitored),Operational refinery flare stack at Gujarat Petrochemical & Refinery Complex (Vadodara) (Persistent 28/30 days).,Autonomous telemetry logging. Normal industrial operation.,#00e5a0,False,22.3072,73.1812,115.4,Operational refinery flare stack at Gujarat Petrochemical & Refinery Complex (Vadodara) (Persistent 28/30 days).,LOW RISK (Routine Flare Monitored)
22.4707,70.0577,85.2,high,2026-09-08,810,True,IND-GJ-003,Jamnagar Mega Petroleum Refining Hub,0.2,5.0,True,25.0,150.0,CONTROLLED FLARE,LOW RISK (Routine Flare Monitored),Operational refinery flare stack at Jamnagar Mega Petroleum Refining Hub (Persistent 29/30 days).,Autonomous telemetry logging. Normal industrial operation.,#00e5a0,False,22.4707,70.0577,85.2,Operational refinery flare stack at Jamnagar Mega Petroleum Refining Hub (Persistent 29/30 days).,LOW RISK (Routine Flare Monitored)
21.6264,73.0152,14.2,nominal,2026-09-08,915,True,IND-GJ-004,Ankleshwar GIDC Chemical & Pharmaceutical Estate,0.0,3.0,False,0.0,15.0,CRITICAL DISASTER,CRITICAL ACTION REQUIRED,🚨 MASSIVE UNCONTAINED FIRE / EXPLOSION THREAT at Ankleshwar GIDC Chemical & Pharmaceutical Estate (FRP: 14.2 MW)!,TRIGGER ALPHA-RED SIREN! Dispatch Hazmat Teams & Fire Brigades!,#ff4161,True,21.6264,73.0152,14.2,🚨 MASSIVE UNCONTAINED FIRE / EXPLOSION THREAT at Ankleshwar GIDC Chemical & Pharmaceutical Estate (FRP: 14.2 MW)!,CRITICAL ACTION REQUIRED
19.006,72.903,28.5,nominal,2026-09-08,1630,True,IND-MH-001,Trombay Refinery & Fertilizer Complex (Mumbai),0.0,3.0,True,10.0,75.0,CONTROLLED FLARE,LOW RISK (Routine Flare Monitored),Operational refinery flare stack at Trombay Refinery & Fertilizer Complex (Mumbai) (Persistent 25/30 days).,Autonomous telemetry logging. Normal industrial operation.,#00e5a0,False,19.006,72.903,28.5,Operational refinery flare stack at Trombay Refinery & Fertilizer Complex (Mumbai) (Persistent 25/30 days).,LOW RISK (Routine Flare Monitored)
13.161,80.2975,44.8,nominal,2026-09-08,1420,True,IND-TN-001,Manali Industrial Petrochem Complex (Chennai),0.23,3.5,True,10.0,80.0,CONTROLLED FLARE,LOW RISK (Routine Flare Monitored),Operational refinery flare stack at Manali Industrial Petrochem Complex (Chennai) (Persistent 22/30 days).,Autonomous telemetry logging. Normal industrial operation.,#00e5a0,False,13.161,80.2975,44.8,Operational refinery flare stack at Manali Industrial Petrochem Complex (Chennai) (Persistent 22/30 days).,LOW RISK (Routine Flare Monitored)
24.5854,75.48,25.4,nominal,2026-09-08,1215,False,N/A,None / Non-Industrial Land,345.07,4.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (25.4 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,24.5854,75.48,25.4,Accidental wildland vegetation burn (25.4 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
37.5,22.37,310.5,high,2026-09-08,1040,False,N/A,None / Non-Industrial Land,4829.47,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (310.5 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,37.5,22.37,310.5,Accidental wildland vegetation burn (310.5 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
37.3891,-5.9845,180.2,high,2026-09-08,1120,False,N/A,None / Non-Industrial Land,7321.83,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (180.2 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,37.3891,-5.9845,180.2,Accidental wildland vegetation burn (180.2 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
37.751,14.9934,120.0,nominal,2026-09-08,1310,False,N/A,None / Non-Industrial Land,5479.32,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (120.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,37.751,14.9934,120.0,Accidental wildland vegetation burn (120.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
43.437,4.885,65.4,nominal,2026-09-08,950,False,N/A,None / Non-Industrial Land,6338.92,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (65.4 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,43.437,4.885,65.4,Accidental wildland vegetation burn (65.4 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
48.0159,37.8029,420.0,high,2026-09-08,1430,False,N/A,None / Non-Industrial Land,4026.34,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (420.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,48.0159,37.8029,420.0,Accidental wildland vegetation burn (420.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
51.95,4.13,45.2,nominal,2026-09-08,830,False,N/A,None / Non-Industrial Land,6423.89,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (45.2 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,51.95,4.13,45.2,Accidental wildland vegetation burn (45.2 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
46.6021,-120.5059,185.0,high,2026-09-08,315,False,N/A,None / Non-Industrial Land,11856.71,3.5,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (185.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,46.6021,-120.5059,185.0,Accidental wildland vegetation burn (185.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
29.74,-95.12,290.0,high,2026-09-08,520,False,N/A,None / Non-Industrial Land,13996.88,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (290.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,29.74,-95.12,290.0,Accidental wildland vegetation burn (290.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
29.87,-93.93,110.0,high,2026-09-08,440,False,N/A,None / Non-Industrial Land,13948.39,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (110.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,29.87,-93.93,110.0,Accidental wildland vegetation burn (110.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
